THE EXTRAORDINARY FANTASY ILLUSTRATIONS OF HEINRICH KLEY  HD,https://www.youtube.com/watch?v=AFyU8DOIQK4
UNSUNG HEROES OF ILLUSTRATION 80   HD,https://www.youtube.com/watch?v=-Cy-exnhKs0
UNSUNG HEROES OF ILLUSTRATION 79 ,https://www.youtube.com/watch?v=Zpj1dvYLEuw
THE ILLUSTRATIONS OF JOSEPH & FRANK LEYENDECKER,https://www.youtube.com/watch?v=1c_Qei7rE74
ILLUSTRATION & THE COUNTERCULTURE OF THE 1960s,https://www.youtube.com/watch?v=UreukNZg6yY
UNSUNG HEROES OF ILLUSTRATION 78,https://www.youtube.com/watch?v=pDKAlFlbU6k
UNSUNG HEROES OF ILLUSTRATION 77,https://www.youtube.com/watch?v=0BStmP4uVq8
THE PAINTED PERFECTION OF MAXFIELD PARRISH,https://www.youtube.com/watch?v=j1yWcI8oXtE
THE SINGULAR COMIC ART OF H. M. BATEMAN,https://www.youtube.com/watch?v=TpfCxlisKHA
UNSUNG HEROES OF ILLUSTRATION 76 & ARCHIVE 51 - 75,https://www.youtube.com/watch?v=Fsmjt053ebU
UNSUNG HEROES OF ILLUSTRATION 75  & ARCHIVE 1 - 50,https://www.youtube.com/watch?v=8pBqLbmp6yo
UNSUNG HEROES OF ILLUSTRATION 74 ,https://www.youtube.com/watch?v=jKuX20qVw2o
THE ART NOUVEAU ILLUSTRATIONS OF ALPHONSE MUCHA ,https://www.youtube.com/watch?v=P7xaoxiKYoU
UNSUNG HEROES OF ILLUSTRATION 73 ,https://www.youtube.com/watch?v=6PuP8BkuikY
UNSUNG HEROES OF ILLUSTRATION 72 ,https://www.youtube.com/watch?v=9WuOOJ4V5gE
DON QUIXOTE ,https://www.youtube.com/watch?v=1Lhc-0oBJu8
UNSUNG HEROES OF ILLUSTRATION 711080p,https://www.youtube.com/watch?v=aoyZ2Xpuz-U
UNSUNG HEROES OF ILLUSTRATION 70  HD,https://www.youtube.com/watch?v=UEw4jAkuEVo
UNSUNG HEROES OF ILLUSTRATION 69 HD,https://www.youtube.com/watch?v=xpHOY0bDDqI
THE ABSURD ABSTRACTIONS OF JIM FLORA   HD,https://www.youtube.com/watch?v=Q0WHSYHu8ks
THE GRAPHIC ART OF LUDWIG HOHLWEIN   HD,https://www.youtube.com/watch?v=5oEDC6l3oxw
UNSUNG HEROES OF ILLUSTRATION 68 ,https://www.youtube.com/watch?v=e1Yp_PXIBQE
UNSUNG HEROES OF ILLUSTRATION 67 ,https://www.youtube.com/watch?v=QxzlyzM8oiI&t=11s
UNSUNG HEROES OF ILLUSTRATION 66 ,https://www.youtube.com/watch?v=MStYWM_mfI8
THE BELLE ÉPOQUE POSTERS OF JULES CHÉRET ,https://www.youtube.com/watch?v=ghQ7lw7EH5w
UNSUNG HEROES OF ILLUSTRATION 651080p,https://www.youtube.com/watch?v=sH6cNxyPHwY
UNSUNG HEROES OF ILLUSTRATION 64 ,https://www.youtube.com/watch?v=1iI0_GY-uDk&t=265s
UNSUNG HEROES OF ILLUSTRATION 63 ,https://www.youtube.com/watch?v=HW4AlXTih4o&t=18s
DIE MUSKETE ,https://www.youtube.com/watch?v=btZhEI_UjIA
UNSUNG HEROES OF ILLUSTRATION 62,https://www.youtube.com/watch?v=neo4KCa6jDA
UNSUNG HEROES OF ILLUSTRATION 61 ,https://www.youtube.com/watch?v=RpyjQoLFSJI&t=45s
UNSUNG HEROES OF ILLUSTRATION 60 ,https://www.youtube.com/watch?v=NvnUTedUZdw
EUGÈNE GRASSET ,https://www.youtube.com/watch?v=2sAjAxo5ATc&t=18s
THE GRAPHIC ART OF A. M. CASSANDRE ,https://www.youtube.com/watch?v=W7400wCEmJM
UNSUNG HEROES OF ILLUSTRATION 59 ,https://www.youtube.com/watch?v=naGhFMYIEQo
UNSUNG HEROES OF ILLUSTRATION 58 ,https://www.youtube.com/watch?v=1Q49fvOAprE&t=130s
